|    | feature        | category                   |   precision |   recall |    fbeta |
|---:|:---------------|:---------------------------|------------:|---------:|---------:|
|  0 | workclass      | State-gov                  |    0.806548 | 0.767705 | 0.786647 |
|  0 | workclass      | Self-emp-not-inc           |    0.807763 | 0.603591 | 0.690909 |
|  0 | workclass      | Private                    |    0.817138 | 0.645577 | 0.721297 |
|  0 | workclass      | Federal-gov                |    0.796748 | 0.792453 | 0.794595 |
|  0 | workclass      | Local-gov                  |    0.79661  | 0.76175  | 0.77879  |
|  0 | workclass      | ?                          |    0.791667 | 0.497382 | 0.610932 |
|  0 | workclass      | Self-emp-inc               |    0.820552 | 0.860129 | 0.839874 |
|  0 | workclass      | Without-pay                |    1        | 1        | 1        |
|  0 | workclass      | Never-worked               |    1        | 1        | 1        |
|  0 | education      | Bachelors                  |    0.790213 | 0.83611  | 0.812514 |
|  0 | education      | HS-grad                    |    0.856155 | 0.369552 | 0.516264 |
|  0 | education      | 11th                       |    1        | 0.416667 | 0.588235 |
|  0 | education      | Masters                    |    0.84493  | 0.88634  | 0.86514  |
|  0 | education      | 9th                        |    0.888889 | 0.296296 | 0.444444 |
|  0 | education      | Some-college               |    0.760377 | 0.58111  | 0.658766 |
|  0 | education      | Assoc-acdm                 |    0.786008 | 0.720755 | 0.751969 |
|  0 | education      | Assoc-voc                  |    0.761404 | 0.601108 | 0.671827 |
|  0 | education      | 7th-8th                    |    0.769231 | 0.25     | 0.377358 |
|  0 | education      | Doctorate                  |    0.869697 | 0.937908 | 0.902516 |
|  0 | education      | Prof-school                |    0.898876 | 0.945626 | 0.921659 |
|  0 | education      | 5th-6th                    |    0.75     | 0.375    | 0.5      |
|  0 | education      | 10th                       |    0.947368 | 0.290323 | 0.444444 |
|  0 | education      | 1st-4th                    |    1        | 0.166667 | 0.285714 |
|  0 | education      | Preschool                  |    1        | 1        | 1        |
|  0 | education      | 12th                       |    0.916667 | 0.333333 | 0.488889 |
